Company,Industry,Review Title,Review Text,Rating,Date,Review_ID,Reviewer,Sentiment,Review_Length,Sentiment_Score,Clean_Text,Word_Count,Character_Count
Uber Eats,Food Delivery,One star is extremely generous for a…,"One star is extremely generous for a company that takes no accountability for their delivery contractors. No customer support, and an app that progresses as if everything went good even when it doesn’t. I feel bad for the restaurants that take time to prepare food that gets ruined by the delivery process. Just go pick up your order if you don’t want it ruined by this so called service.",1,"August 11, 2026",,,Negative,388,-1,one star extremely generous company takes no accountability delivery contractors no customer support app progresses everything went good even feel bad restaurants take time prepare food gets ruined delivery process go pick order want ruined called service,37,255
Uber Eats,Food Delivery,I WISH YOU COULD LEAVE A NEGATIVE…,"I WISH YOU COULD LEAVE A NEGATIVE RATING. THIS MOB ARE UNBELIEVABLE. OVER A FORTNIGHT OF CONTACTING THEM DAILY(CONTACTING UBER EATS - AN EXERCISE IN FUTILITY AND FRUSTRATION AN A WHOLE OTHER PROBLEM-24/7 MY ASS IS ALL I WILL SAY) AFTER A DRIVER WHO WAS ASKED TO LEAVE WITH THE ORDER I PAID PRIORITY DELIVERY FOR THAT TURNED UP COLD, OVER 30 MINUTES AFTER IT WAS READY RANG HIS DRIVER SERVICE WHO TOLD HIM TO RETURN TO MY PROPERTY AND DUMP HIS BAG OF COMPOST ON MY DOORSTEP, SNAP A PHOTO TO TRY AND SAY THE “MEET AT DOOR”, CONFIRM WITH PIN UBER PUT ON MY ACCOUNT ACTUALLY OCCURRED THAT WAY. THEY REFUSE TO DO ANYTHING OR PROVIDE ANY DETAILS SO I CAN. THESE THIEVES ARE NASTY. THEY ONLY THING UBER AUSTRALIA DOES QUICKLY IS TAKE MONEY FROM YOUR ACVOUNT - EVEN WHEN THEY THEMSELVES ADMIT THEY MADE A MISTAKE AND HAD NO RIGHT, BUT TAKE UP TO 10 WORKING DAYS TO RETURN FUNDS THEY DEFRAUDED IN THE FIRST PLACE.",1,"July 30, 2026",,,Negative,904,-1,wish could leave negative rating mob unbelievable fortnight contacting daily contacting uber eats exercise futility frustration whole problem 24 7 ass say driver asked leave order paid priority delivery turned cold 30 minutes ready rang driver service told return property dump bag compost doorstep snap photo try say meet door confirm pin uber put account actually occurred way refuse anything provide details thieves nasty thing uber australia quickly take money acvount even admit made mistake no right take 10 working days return funds defrauded first place,86,561
Uber Eats,Food Delivery,Uber Eats is a Rip Off,"Uber Eats is an absolute rip off. The menu prices are higher than they are in the stores, the service fees are ridiculous that even when you get a 50% off coupon, promotion, you wind up paying the same amount because they up the taxes and service fee. They have crappy drivers that deliver food haphazard lay and yes, while they will give you a refund from time to time you have to go and spend another 30 to 45 minutes taking pictures of the food and talking with the customer service rep and there goes your whole ordering out to have an easy night option. Uber Eats is a rip off and they don’t have high standards when it comes to delivery drivers.",1,"August 6, 2026",,,Negative,651,-1,uber eats absolute rip menu prices higher stores service fees ridiculous even get 50 coupon promotion wind paying amount taxes service fee crappy drivers deliver food haphazard lay yes give refund time time go spend another 30 45 minutes taking pictures food talking customer service rep goes whole ordering easy night option uber eats rip high standards comes delivery drivers,60,377
Uber Eats,Food Delivery,A Mystery $37 extra... and a Wannabe ai Bot.,"I had some negative experiences in the past with UberEATS but my friend really wanted to order lunch and I figured maybe UberEATS has cleaned up their game a bit... so we placed an order.

No, they have not. We ordered 2 sandwiches that were $11.40 each and no breakdown was given - only a final total of $59.00. Then there was no receipt. We cancelled because we had no idea what that extra $37 was for... and it gave the 'cancel' option so we did cancel. We got on their chat-bot thing and it didn't offer any cost breakdown. No explanation. It just said we cancelled so the cancellation charge would be $41 because the restaurant started making our order.

We called Mendocino Farms immediately and they said they not only didn't start making our order, but they hadn't even received it at all. I am diligent about unscrupulous tactics of certain unknown companies but never expected to be scammed by such a big corporation.

The bot had its standard responses. We called my friend's bank and the $41 charge was already there. No lunch. No explanation of the excess $37 charge was. Did they add a tip on there for us? Did Calif. taxes suddenly grow to be 50% They won't say. What an unprofessional inconvenient experience. Now we have to file a Fraud report with her charge card. There are other delivery services out there, and I just want to put a serious warning out there for everyone to heed.",1,"August 11, 2026",,,Negative,1400,-1,negative experiences past ubereats friend really wanted order lunch figured maybe ubereats cleaned game bit placed order no not ordered 2 sandwiches 11 40 no breakdown given final total 59 00 no receipt cancelled no idea extra 37 gave 'cancel' option cancel got chat bot thing didn't offer cost breakdown no explanation said cancelled cancellation charge would 41 restaurant started making order called mendocino farms immediately said not didn't start making order even received diligent unscrupulous tactics certain unknown companies never expected scammed big corporation bot standard responses called friend's bank 41 charge already no lunch no explanation excess 37 charge add tip us calif taxes suddenly grow 50 won't say unprofessional inconvenient experience file fraud report charge card delivery services want put serious warning everyone heed,127,853
Uber Eats,Food Delivery,This got to be the worst company that…,"This got to be the worst company that you can use to delivery your food. I placed a sizeable order 7 days ago and never got the order. The driver took a picture of my neighbors house and texted to me, However I live in front of my neighbor. when I realized that the time they told me to be outside was not happening, I check my phone and seen that I had gotten 2 text from the driver to see where he was and he would not answer the phone. What's even harder is trying to dispute the charges you have been already charged for food you never received. I will chop it up as a lost because the customer service sucks and they argue with the customer, which is bad. this was my first and last time I will use this company because to a senior citizen who already living on a fixed income this is too much.",1,"August 2, 2026",,,Negative,799,-1,got worst company use delivery food placed sizeable order 7 days ago never got order driver took picture neighbors house texted however live front neighbor realized time told outside not happening check phone seen gotten 2 text driver see would not answer phone what's even harder trying dispute charges already charged food never received chop lost customer service sucks argue customer bad first last time use company senior citizen already living fixed income much,74,467
Uber Eats,Food Delivery,The delivery guy did not deliver my…,"The delivery guy did not deliver my food , he went back home with it to eat it and lied and said he left it at the security guards, he was very rude & dropped my calls , his name is Wiseman.",1,"August 11, 2026",,,Negative,190,-1,delivery guy not deliver food went back home eat lied said left security guards rude dropped calls name wiseman,19,111
Uber Eats,Food Delivery,Still battling an non order of main…,"Still battling an non order of main food( no delivery of pasta and meatballs - got sides though) still refusing to refund $ 29.00 order - big deal for low income senior ( ref and microwave- 2 days of food instead of just 1 meal) restaurant confirmed they gave full order to driver. No big deal to Uber Eats these reviews( dod previous reviews on same order). Doing a delivery at 8.30 ish at night with no restaurants near - is against the norm for me- delivery is against the norm. Costs was high for me( 1.00 yogurt - $29 “meals” for me - so it is a big deal for me) Get them out of business . Still today- person - uber says no to refund. No then by folks as victims- seeing reviews/. Bye bye Uber Eats
Will have to bring granola bars/ peanut butter crackers with me.",1,"May 14, 2026",,,Negative,769,-1,still battling non order main food no delivery pasta meatballs got sides though still refusing refund 29 00 order big deal low income senior ref microwave 2 days food instead 1 meal restaurant confirmed gave full order driver no big deal uber eats reviews dod previous reviews order delivery 8 30 ish night no restaurants near norm delivery norm costs high 1 00 yogurt 29 meals big deal get business still today person uber says no refund no folks victims seeing reviews bye bye uber eats bring granola bars peanut butter crackers,92,530
Uber Eats,Food Delivery,Costumer service is very bad,"Costumer service is very bad. I was promised in the chat (after a month of messages with support) that I would get a full refund on a order that never arrived. The refund also never arrived. Contacting costumer service is impossible, always a chatbot and an eternal loop leading to no answers or solutions",1,"June 26, 2026",,,Negative,305,-1,costumer service bad promised chat month messages support would get full refund order never arrived refund also never arrived contacting costumer service impossible always chatbot eternal loop leading no answers solutions,31,221
Uber Eats,Food Delivery,"Uber Eats, improving fast","I've spent a lot of time being annoyed at Uber Eats, long delivery times, not great customer service, but over the past 6 months I've noticed a significant improvement. Delivery drivers going above and beyond, customer service reps actually looking into your complaint and refunding where appropriate. I don't know if this is just in my area but I can finally say I'm happy with my Uber Eats service",4,"August 10, 2026",,,Positive,399,1,spent lot time annoyed uber eats long delivery times not great customer service past 6 months noticed significant improvement delivery drivers going beyond customer service reps actually looking complaint refunding appropriate don't know area finally say happy uber eats service,40,278
Uber Eats,Food Delivery,Delivered wthin their 'latest estimates' which kept changing? Crap.,"Uber kept pushing the delivery time later, then refused a refund for an order I never accepted. Support ignored the facts and sent the exact same canned response twice. Poor service, no accountability. Im going for a chargeback.",1,"August 10, 2026",,,Negative,228,-1,uber kept pushing delivery time later refused refund order never accepted support ignored facts sent exact canned response twice poor service no accountability im going chargeback,26,179
Uber Eats,Food Delivery,The orders are almost always missing…,The orders are almost always missing items and a chatbot decides if you can get refunded or not. It is horrible customer service.,1,"August 10, 2026",,,Negative,129,-1,orders almost always missing items chatbot decides get refunded not horrible customer service,13,93
