Company,Industry,Review Title,Review Text,Rating,Date
Uber Eats,Food Delivery,One star is extremely generous for a…,"One star is extremely generous for a company that takes no accountability for their delivery contractors. No customer support, and an app that progresses as if everything went good even when it doesn’t. I feel bad for the restaurants that take time to prepare food that gets ruined by the delivery process. Just go pick up your order if you don’t want it ruined by this so called service.",1,"August 11, 2026"
Uber Eats,Food Delivery,I WISH YOU COULD LEAVE A NEGATIVE…,"I WISH YOU COULD LEAVE A NEGATIVE RATING. THIS MOB ARE UNBELIEVABLE. OVER A FORTNIGHT OF CONTACTING THEM DAILY(CONTACTING UBER EATS - AN EXERCISE IN FUTILITY AND FRUSTRATION AN A WHOLE OTHER PROBLEM-24/7 MY ASS IS ALL I WILL SAY) AFTER A DRIVER WHO WAS ASKED TO LEAVE WITH THE ORDER I PAID PRIORITY DELIVERY FOR THAT TURNED UP COLD, OVER 30 MINUTES AFTER IT WAS READY RANG HIS DRIVER SERVICE WHO TOLD HIM TO RETURN TO MY PROPERTY AND DUMP HIS BAG OF COMPOST ON MY DOORSTEP, SNAP A PHOTO TO TRY AND SAY THE “MEET AT DOOR”, CONFIRM WITH PIN UBER PUT ON MY ACCOUNT ACTUALLY OCCURRED THAT WAY. THEY REFUSE TO DO ANYTHING OR PROVIDE ANY DETAILS SO I CAN. THESE THIEVES ARE NASTY. THEY ONLY THING UBER AUSTRALIA DOES QUICKLY IS TAKE MONEY FROM YOUR ACVOUNT - EVEN WHEN THEY THEMSELVES ADMIT THEY MADE A MISTAKE AND HAD NO RIGHT, BUT TAKE UP TO 10 WORKING DAYS TO RETURN FUNDS THEY DEFRAUDED IN THE FIRST PLACE.",1,"July 30, 2026"
Uber Eats,Food Delivery,Uber Eats is a Rip Off,"Uber Eats is an absolute rip off. The menu prices are higher than they are in the stores, the service fees are ridiculous that even when you get a 50% off coupon, promotion, you wind up paying the same amount because they up the taxes and service fee. They have crappy drivers that deliver food haphazard lay and yes, while they will give you a refund from time to time you have to go and spend another 30 to 45 minutes taking pictures of the food and talking with the customer service rep and there goes your whole ordering out to have an easy night option. Uber Eats is a rip off and they don’t have high standards when it comes to delivery drivers.",1,"August 6, 2026"
Uber Eats,Food Delivery,A Mystery $37 extra... and a Wannabe ai Bot.,"I had some negative experiences in the past with UberEATS but my friend really wanted to order lunch and I figured maybe UberEATS has cleaned up their game a bit... so we placed an order.

No, they have not. We ordered 2 sandwiches that were $11.40 each and no breakdown was given - only a final total of $59.00. Then there was no receipt. We cancelled because we had no idea what that extra $37 was for... and it gave the 'cancel' option so we did cancel. We got on their chat-bot thing and it didn't offer any cost breakdown. No explanation. It just said we cancelled so the cancellation charge would be $41 because the restaurant started making our order.

We called Mendocino Farms immediately and they said they not only didn't start making our order, but they hadn't even received it at all. I am diligent about unscrupulous tactics of certain unknown companies but never expected to be scammed by such a big corporation.

The bot had its standard responses. We called my friend's bank and the $41 charge was already there. No lunch. No explanation of the excess $37 charge was. Did they add a tip on there for us? Did Calif. taxes suddenly grow to be 50% They won't say. What an unprofessional inconvenient experience. Now we have to file a Fraud report with her charge card. There are other delivery services out there, and I just want to put a serious warning out there for everyone to heed.",1,"August 11, 2026"
Uber Eats,Food Delivery,This got to be the worst company that…,"This got to be the worst company that you can use to delivery your food. I placed a sizeable order 7 days ago and never got the order. The driver took a picture of my neighbors house and texted to me, However I live in front of my neighbor. when I realized that the time they told me to be outside was not happening, I check my phone and seen that I had gotten 2 text from the driver to see where he was and he would not answer the phone. What's even harder is trying to dispute the charges you have been already charged for food you never received. I will chop it up as a lost because the customer service sucks and they argue with the customer, which is bad. this was my first and last time I will use this company because to a senior citizen who already living on a fixed income this is too much.",1,"August 2, 2026"
Uber Eats,Food Delivery,The delivery guy did not deliver my…,"The delivery guy did not deliver my food , he went back home with it to eat it and lied and said he left it at the security guards, he was very rude & dropped my calls , his name is Wiseman.",1,"August 11, 2026"
Uber Eats,Food Delivery,Still battling an non order of main…,"Still battling an non order of main food( no delivery of pasta and meatballs - got sides though) still refusing to refund $ 29.00 order - big deal for low income senior ( ref and microwave- 2 days of food instead of just 1 meal) restaurant confirmed they gave full order to driver. No big deal to Uber Eats these reviews( dod previous reviews on same order). Doing a delivery at 8.30 ish at night with no restaurants near - is against the norm for me- delivery is against the norm. Costs was high for me( 1.00 yogurt - $29 “meals” for me - so it is a big deal for me) Get them out of business . Still today- person - uber says no to refund. No then by folks as victims- seeing reviews/. Bye bye Uber Eats
Will have to bring granola bars/ peanut butter crackers with me.",1,"May 14, 2026"
Uber Eats,Food Delivery,Costumer service is very bad,"Costumer service is very bad. I was promised in the chat (after a month of messages with support) that I would get a full refund on a order that never arrived. The refund also never arrived. Contacting costumer service is impossible, always a chatbot and an eternal loop leading to no answers or solutions",1,"June 26, 2026"
Uber Eats,Food Delivery,"Uber Eats, improving fast","I've spent a lot of time being annoyed at Uber Eats, long delivery times, not great customer service, but over the past 6 months I've noticed a significant improvement. Delivery drivers going above and beyond, customer service reps actually looking into your complaint and refunding where appropriate. I don't know if this is just in my area but I can finally say I'm happy with my Uber Eats service",4,"August 10, 2026"
Uber Eats,Food Delivery,Delivered wthin their 'latest estimates' which kept changing? Crap.,"Uber kept pushing the delivery time later, then refused a refund for an order I never accepted. Support ignored the facts and sent the exact same canned response twice. Poor service, no accountability. Im going for a chargeback.",1,"August 10, 2026"
Uber Eats,Food Delivery,The orders are almost always missing…,The orders are almost always missing items and a chatbot decides if you can get refunded or not. It is horrible customer service.,1,"August 10, 2026"
Uber Eats,Food Delivery,I ordered 1400 dollars of food from…,I ordered 1400 dollars of food from Costco to be delivered and I have been sent a message saying that It was not delivered when because I wasn't available and they never even called I cannot get a refund and the driver was issued a tip this is disgusting. 1400 my family needs to eat this man named DILEEPA or whoever from this business robbed food out of my families mouths and stole a tip for work he never did. THANKS UBER,1,"August 10, 2026"
Uber Eats,Food Delivery,Poouber are bunch of crooks take yr…,Poouber are bunch of crooks take yr money do not deliver yr food. Do not use they don’t answer complaints bunch of Thief's.,1,"August 10, 2026"
Uber Eats,Food Delivery,Terrible service,"Terrible service, no customer service, rip off prices. Don't use Uber",1,"August 10, 2026"
Uber Eats,Food Delivery,Uber never sent a driver to pick up the…,Uber never sent a driver to pick up the order. Also number provided on the app was wrong and I had to Google the correct number for the restaurant to even see what had happened. Never using again.,1,"August 10, 2026"
Uber Eats,Food Delivery,"Tried it on holiday, literally worst company I have ever dealt with",Used it for the first time on holiday. First couple of times were really slow but put it down to being in a busy location. 3rs tine I used it I paid the priority fee and the app said we were next for delivery. The driver then proceeded to at least 4 other stops and the customer service / AI bots they use are infuriating to get a reasonable response. Will never use again and switch to a different app for taxis as well. Terrible terrible company and I never complain usually but they have riled me up by being soo bad.,1,"August 10, 2026"
Uber Eats,Food Delivery,One star is too much,"One star is too much. They say that the have delivered your order but its been brought to a different location. Butttt since the delivery guy called (and i didn't answer straight away) i cant get a refund. I hope someone at least enjoyed the meal, whom ever found it",1,"July 30, 2026"
Uber Eats,Food Delivery,If I could rate less I would,"If I could rate less I would , ordered smoothies . Spent £40 worth and the rider dropped them all over my doorstep. He insisted they’d refund me and they just won’t even when I have photographic and audio evidence from cctv. Ridiculous",1,"August 2, 2026"
Uber Eats,Food Delivery,nigligent deliveries,"ordered food and the del;ivery driver sat in the car park for 15 minutes before i text him to ask why he then started to move, when i recieved the food over 20 mins later it was cold, customer services accept this as acceptible with no resolution otherv than close the chat",1,"August 10, 2026"
Uber Eats,Food Delivery,Terrible disgusting customer services avoid,"I had a terrible experience with a company & when I raised a complaint to Uber Eats there customer services was diabolical. When I escalated the complaint to senior Management it was completely ignored.
There has been a complete breakdown in customer services from top to bottom the customer services are really useless.
I would recommend not using Uber Eats if you get any problem they are biased & support the retailer & dismiss your complaint as frivolous with a very condescending negative attitude. Uber eats only want your money so they can make more profit they don’t care about there customers they just abandon them & ineffect get ripped of by some unscrupulous businesses.",1,"July 30, 2026"
